Column1,Content ID,Type,Date,time
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07,10:52:00
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20,7:59:00
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23,11:15:00
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24,5:56:00
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07,19:13:00
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03,16:41:00
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10,15:36:00
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20,8:48:00
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20,14:06:00
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24,12:15:00
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06,1:27:00
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25,0:09:00
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14,7:56:00
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-05,18:00:00
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18,23:37:00
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09,2:42:00
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11,8:38:00
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12,8:00:00
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21,16:57:00
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04,23:58:00
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09,16:47:00
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01,19:16:00
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23,22:46:00
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-12-11,14:08:00
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23,23:41:00
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13,0:33:00
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09,10:13:00
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29,19:41:00
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14,12:47:00
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04,5:40:00
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07,4:09:00
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23,21:19:00
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14,23:53:00
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,2020-08-04,19:26:00
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12,4:54:00
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,2021-04-03,12:17:00
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,2020-09-27,22:15:00
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27,5:45:00
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,2020-10-15,9:11:00
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07,9:16:00
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,2020-09-16,8:39:00
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,2020-10-29,15:38:00
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24,18:03:00
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-02-25,20:02:00
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,2021-05-02,3:45:00
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,2021-01-28,8:49:00
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2021-02-15,13:06:00
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2020-11-04,21:25:00
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,2020-06-23,22:12:00
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-02-16,4:01:00
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-01-03,8:44:00
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2020-11-25,12:45:00
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2020-12-03,16:47:00
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2021-05-22,21:03:00
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-01-18,13:39:00
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2021-01-06,0:35:00
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-14,14:33:00
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,2021-05-27,15:21:00
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-07-21,2:12:00
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-05-26,6:09:00
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-02-25,3:16:00
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,2020-12-07,22:50:00
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2020-10-24,14:06:00
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-09-01,21:18:00
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-10,22:07:00
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2021-02-12,16:37:00
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-04-28,15:22:00
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-24,0:38:00
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2021-03-18,1:53:00
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14,7:21:00
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-23,4:11:00
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-05-21,7:23:00
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2021-03-28,23:25:00
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,2020-09-16,7:33:00
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2020-11-08,10:53:00
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-06,5:23:00
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13,23:35:00
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-09-06,22:35:00
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-06-24,9:31:00
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-02-07,21:39:00
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-21,18:28:00
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2021-02-27,0:21:00
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-08-22,12:06:00
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2020-08-03,6:29:00
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-08-02,6:20:00
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-06-04,4:57:00
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,2020-10-21,9:07:00
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2020-12-26,19:46:00
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-03-02,22:47:00
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2021-03-31,9:48:00
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2021-06-14,13:44:00
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-12-27,17:04:00
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-02-11,3:51:00
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-07,19:07:00
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-28,8:31:00
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-26,5:27:00
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-09-26,18:43:00
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-11-25,13:01:00
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-07-11,5:51:00
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-19,16:23:00
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-11,18:31:00
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-11-02,20:15:00
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-10-01,3:35:00
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11,20:10:00
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-02-07,15:59:00
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2020-10-17,11:46:00
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2020-08-09,19:41:00
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2021-02-01,2:40:00
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,2021-01-30,9:36:00
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,2021-03-31,15:24:00
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2021-02-05,17:00:00
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2021-02-19,16:29:00
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,2020-07-25,0:00:00
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-07-13,2:38:00
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,2021-01-13,13:11:00
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,2021-01-02,16:46:00
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,2020-11-26,2:25:00
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,2020-08-25,19:18:00
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2021-02-01,0:15:00
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,2021-06-04,14:36:00
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-08-19,13:38:00
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,2021-04-22,2:08:00
187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,2020-06-26,10:33:00
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,2020-08-15,18:16:00
189,0bedca96-fb76-4287-a83c-17330ed39cce,love,2020-11-26,13:42:00
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-04-14,0:56:00
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-07-21,21:27:00
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2021-03-29,6:57:00
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-05-20,16:11:00
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-11-02,6:09:00
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-10-24,15:37:00
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-07,14:42:00
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-03-04,2:46:00
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2021-01-07,14:08:00
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,2020-07-06,11:18:00
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-03-27,4:56:00
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-11-21,21:25:00
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2020-08-22,1:25:00
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,2021-06-14,11:45:00
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-07-15,19:28:00
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2021-03-21,14:39:00
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,2021-04-07,3:15:00
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2021-04-24,6:56:00
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-30,14:05:00
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-07-19,19:28:00
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-21,7:08:00
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-31,13:48:00
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-12-24,3:24:00
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27,1:44:00
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13,4:14:00
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-07-14,4:36:00
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2020-07-15,16:03:00
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-10-08,17:23:00
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-11-12,23:55:00
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-02-21,5:01:00
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-07-09,8:58:00
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-06-26,23:45:00
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-11-20,13:18:00
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-05-29,21:34:00
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2021-02-22,2:48:00
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-07,18:39:00
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-10-01,15:10:00
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-11-21,8:24:00
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-04-15,13:50:00
230,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,2020-06-30,1:14:00
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2020-12-01,15:06:00
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2020-11-07,0:47:00
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-06-30,13:08:00
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,2020-08-04,3:09:00
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-28,7:01:00
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-10-25,2:39:00
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,2020-07-05,3:37:00
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,2021-04-28,15:16:00
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,2021-01-31,0:54:00
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,2020-08-29,11:37:00
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-10-15,12:09:00
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2020-08-02,21:20:00
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,2020-10-31,21:46:00
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,2020-10-12,9:40:00
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,2020-12-12,12:22:00
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,2021-01-09,16:37:00
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,2020-08-23,4:39:00
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2020-12-22,4:20:00
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07,8:49:00
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,2021-04-17,22:45:00
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,2021-04-21,0:21:00
253,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-19,10:33:00
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-06,2:08:00
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2021-03-26,5:42:00
258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,2020-09-13,11:24:00
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-01-28,21:06:00
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,2021-01-20,1:15:00
261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2020-09-03,1:15:00
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-01-09,10:46:00
263,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,2020-09-19,22:29:00
264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2021-05-29,7:21:00
265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-05-15,19:04:00
266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,2020-08-15,12:27:00
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2021-03-31,15:51:00
268,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2021-02-15,3:32:00
269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,2021-03-29,19:03:00
270,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,2020-07-29,10:40:00
271,0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,2021-05-08,13:47:00
272,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,2020-11-06,2:36:00
273,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2020-07-25,16:31:00
274,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2020-12-04,0:56:00
275,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2020-09-22,2:08:00
276,0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,2020-07-05,5:50:00
277,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,2020-10-20,12:11:00
278,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,2021-01-11,6:02:00
279,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,2021-02-28,7:51:00
280,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,2020-12-06,13:45:00
281,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2021-05-05,9:54:00
282,0be59876-d70c-486c-8e0b-a06bef7a2cd6,interested,2020-08-27,18:36:00
283,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,2020-10-15,1:29:00
284,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2021-01-15,11:33:00
285,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,2021-03-01,20:26:00
286,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2020-11-28,2:11:00
287,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,2020-06-26,19:05:00
288,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,2020-12-30,13:37:00
289,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2021-02-14,21:15:00
290,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,2021-03-27,20:07:00
291,0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,2020-08-23,7:38:00
292,0be59876-d70c-486c-8e0b-a06bef7a2cd6,heart,2020-11-09,8:23:00
293,0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,2021-05-12,20:45:00
294,0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,2021-04-15,13:23:00
295,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2020-08-16,22:58:00
296,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-09-11,16:22:00
297,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,2021-04-13,1:43:00
298,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,2020-12-13,15:59:00
299,0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,2020-12-03,8:08:00
300,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13,16:31:00
301,0be59876-d70c-486c-8e0b-a06bef7a2cd6,want,2020-12-04,10:04:00
302,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2021-01-25,11:00:00
303,0be59876-d70c-486c-8e0b-a06bef7a2cd6,hate,2021-05-04,19:40:00
304,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23,19:31:00
306,81abd65a-3b76-4574-a0a7-db6bf7184ae2,love,2021-01-06,6:08:00
307,81abd65a-3b76-4574-a0a7-db6bf7184ae2,worried,2020-10-21,3:48:00
308,81abd65a-3b76-4574-a0a7-db6bf7184ae2,worried,2021-02-23,22:36:00
309,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,2021-01-26,1:00:00
310,81abd65a-3b76-4574-a0a7-db6bf7184ae2,peeking,2020-12-18,14:07:00
311,81abd65a-3b76-4574-a0a7-db6bf7184ae2,indifferent,2021-05-23,23:27:00
312,81abd65a-3b76-4574-a0a7-db6bf7184ae2,worried,2020-10-31,3:17:00
313,81abd65a-3b76-4574-a0a7-db6bf7184ae2,indifferent,2021-02-20,20:02:00
314,81abd65a-3b76-4574-a0a7-db6bf7184ae2,super love,2020-10-28,13:14:00
315,81abd65a-3b76-4574-a0a7-db6bf7184ae2,peeking,2020-08-30,0:08:00
316,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-12-08,13:12:00
317,81abd65a-3b76-4574-a0a7-db6bf7184ae2,scared,2020-11-04,21:06:00
318,81abd65a-3b76-4574-a0a7-db6bf7184ae2,scared,2020-08-24,13:48:00
319,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-01-05,13:15:00
